YEAR	DAY	HOUR	MINUTE	SECOND	CDP	SOU_X	SOU_Y
2020	285	11	52	55	445	596333.64617	10645423.02411
2020	285	11	52	57	447	596337.69621	10645425.68809
2020	285	11	52	59	448	596341.73374	10645428.36281
2020	285	11	53	1	450	596345.74982	10645431.06231
2020	285	11	53	3	451	596349.71879	10645433.76593
2020	285	11	53	5	453	596353.71481	10645436.47571
2020	285	11	53	7	454	596357.72885	10645439.21950
2020	285	11	53	9	456	596361.72561	10645441.96005
2020	285	11	53	11	458	596365.71945	10645444.69148
2020	285	11	53	13	459	596369.71870	10645447.41903
2020	285	11	53	15	461	596373.76818	10645450.16325
2020	285	11	53	17	462	596377.80648	10645452.91502
2020	285	11	53	19	464	596381.84953	10645455.64947
2020	285	11	53	21	465	596385.88540	10645458.37377
2020	285	11	53	23	467	596389.93677	10645461.09274
2020	285	11	53	25	469	596394.02166	10645463.81436
2020	285	11	53	27	470	596398.05722	10645466.53830
2020	285	11	53	29	472	596402.08807	10645469.24173
2020	285	11	53	31	473	596406.10901	10645471.93371
2020	285	11	53	33	475	596410.12575	10645474.69111
2020	285	11	53	35	476	596414.12500	10645477.44499
2020	285	11	53	37	478	596418.09813	10645480.21091
2020	285	11	53	39	479	596422.09900	10645482.94896
2020	285	11	53	41	481	596426.06039	10645485.74099
2020	285	11	53	43	482	596430.05393	10645488.51847
2020	285	11	53	45	484	596434.03330	10645491.28889
2020	285	11	53	47	486	596438.03980	10645494.04770
2020	285	11	53	49	487	596442.03513	10645496.79520
2020	285	11	53	51	489	596446.04672	10645499.54774
2020	285	11	53	53	490	596450.07121	10645502.29555
2020	285	11	53	55	492	596454.10187	10645505.02972
2020	285	11	53	57	493	596458.14246	10645507.75872
2020	285	11	53	59	495	596462.17144	10645510.50634
2020	285	11	54	1	497	596466.20327	10645513.23366
2020	285	11	54	3	498	596470.21593	10645515.99431
2020	285	11	54	5	500	596474.25642	10645518.72178
2020	285	11	54	7	501	596478.29795	10645521.46427
2020	285	11	54	9	503	596482.29147	10645524.20709
2020	285	11	54	11	504	596486.31417	10645526.92832
2020	285	11	54	13	506	596490.35208	10645529.67014
2020	285	11	54	15	507	596494.39640	10645532.41748
2020	285	11	54	17	509	596498.40784	10645535.14998
2020	285	11	54	19	511	596502.42188	10645537.86487
2020	285	11	54	21	512	596506.46596	10645540.61119
